PlasmoDB geneID,Early troph._mRNArpkM,Late troph._mRNArpkM
pfe1115c,101.2923665,44.33991234
pf11_0275,87.39448205,40.82939543
pf08_0081,576.5062008,225.9800838
pfl1345c,140.9182061,69.3347823
pf07_0122,115.1358221,44.6069801
pf11_0378,57.9608487,36.32923476
pf14_0027,3024.892893,2219.764322
pf14_0056,47.95103106,26.65673219
pf11_0111,202.2790882,135.8665682
pf11_0438,1833.6309,1414.840172
pfe1005w,3423.704951,2678.108978
pfl0970w,91.54185072,70.89046123
pff0573c,1311.753379,1011.178591
pfa0275c,65.15889566,54.53140735
pfl0330c,141.2957562,64.16554722
pf10_0187,2344.37973,1612.383124
pfc0735w,2306.860152,1633.07869
mal13p1.43,108.7109968,70.25123046
pf14_0575a,894.2298007,694.7788799
pfe1010w,47.41646815,33.41348235
pfi0865w,34.68794334,NULL
mal7p1.104,80.39813893,NULL
pfl1680w,115.8493368,84.69865646
pf10_0043,2549.73135,1944.711888
pfe0850c,1589.603201,1191.128032
pfd0270c,81.36779118,NULL
pfl0075w,82.93218797,41.85810506
pf10_0380,524.5004219,64.9600251
pfl2475w,120.4529714,49.86555756
pfc0300c,1949.252612,1083.651181
pf10_0197,31.04222887,20.95029359
pfe1405c,348.0065918,261.5900099
pfe1535w,30.09259394,21.08255006
pfb0735c,67.76671421,51.26987063
pf13_0171,2480.449964,1629.936913
pf14_0449,102.854323,NULL
pf14_0221,151.8008648,112.0890027
pfl1485w,79.06766565,49.71198405
pf13_0136,61.37494255,50.98989726
pfd0740w,47.9769612,38.08849139
mal8p1.31,53.96436823,NULL
pf14_0561,32.57664716,20.04141575
pf07_0126,301.4790611,213.6960599
pfi1270w,1103.972353,603.9742235
pfl1230w,63.70023023,32.99588411
pff0530w,350.9953497,284.8184011
mal13p1.293,43.26180336,23.7234824
pfe0160c,140.287607,120.4578887
pf07_0092,83.38575278,63.40622091
mal8p1.64,80.11161231,68.41482223
pf11_0384,101.3202556,78.63382124
mal13p1.14,58.04533696,27.04112482
pfe0335w,30.95832345,24.63447949
pf10_0099,85.52438445,46.22658592
pfd1060w,57.3680099,42.23732271
pf14_0360,135.370914,107.9461994
pfe1215c,201.4658296,143.0296923
pf11_0272,2730.196872,1846.737738
pf13_0268,2398.296455,1400.223744
pfb0445c,1169.194066,845.5948234
pf10_0112,85.51331144,NULL
pfi0190w,1983.006041,1621.285889
pf11_0437,369.1416858,228.873279
pf13_0014,907.0159053,771.533922
pf14_0661,149.7616899,98.9668071
mal13p1.56,1613.710108,829.7957733
pf11_0419,114.8017715,60.68440097
pf13_0056,40.02300258,25.62196756
pfl1820w,96.08225068,61.48923975
pf14_0655,1523.755996,1195.62996
mal13p1.35,48.71480982,29.31661341
pf14_0442,68.08103004,50.85560776
pfi0455w,74.13799105,68.06829246
pf11_0313,3092.950292,1937.444119
mal8p1.125,295.3519157,207.699274
mal13p1.338,62.95829262,56.65369815
pf13_0224,1133.925174,613.2284199
pfe1390w,139.3177876,118.0900762
pfc0775w,2095.387658,1230.196362
pfl1855w,39.40751388,37.25486032
pf11_0454,1867.877444,1007.751737
pf14_0307,33.11903043,31.15402794
pf14_0174,222.5904274,157.206172
pf11_0296,67.03874368,47.94090261
pff1270c,40.13837897,29.1746944
pfl1290w,64.94168017,37.62399185
pf14_0100,296.7603902,111.2061381
mal13p1.144,59.14104349,42.63139799
pf14_0677,88.14470954,38.66198404
pfc0295c,2208.478147,1446.273804
pf14_0125,113.4840123,54.42609162
pf13_0087,134.876472,90.96080253
pfe0300c,148.3370787,151.2979967
pf14_0017,60.13120365,NULL
pfb0195c,32.57783629,31.15767883
pf14_0740,36.2681747,NULL
pfi1760w,84.1051833,NULL
mal8p1.161,242.3351522,NULL
pf14_0156,120.1964319,47.21704363
pf11_0445,218.1859103,139.3552056
pf13_0035,69.2121882,41.25749508
pf13_0215,931.8312848,639.5791458
pfc0221c,111.7174412,70.00130975
mal7p1.24,308.4618126,232.1299606
pf11_0266,280.4610867,204.1131969
pf08_0004,1579.381889,1160.896356
pf10_0158,70.02950607,66.08044456
pf10_0103,430.2788174,374.9641003
pfc0155c,212.2954706,169.488509
pfb0295w,58.76369389,45.19362255
pf10_0327,108.0624338,92.81046861
pf11_0255,100.3575989,99.84768468
pf13_0190,134.8926447,95.15248849
pf07_0080,858.191663,496.6864256
pf14_0296,1918.169546,1214.680617
pf14_0616,167.7436355,93.80717303
pf13_0048,161.3274249,102.4837939
pf14_0428,147.8142564,67.25481968
pf10_0370,NULL,NULL
pf14_0146,239.1253913,144.2865787
pff0625w,202.638583,103.1842239
pf11_0174,2763.669594,858.7241133
pf11_0316,50.60287898,26.69232282
pfd1140w,48.15337644,NULL
pff1115w,81.47891165,41.75002494
pfi1070c,83.90354837,44.43893542
pf14_0082,94.31009054,76.86953122
pff1385c,71.03308249,55.09165187
pfl1665c,40.85055324,34.43312494
pf10_0057a,79.71916951,69.1834859
pf13_0245,39.1006958,33.43266734
pf13_0184,62.02788995,21.09143846
pf07_0084,118.6112981,NULL
mal13p1.92,1713.919251,1137.795326
pf14_0713,180.9045199,154.1922164
pf10_0063,2546.015062,2372.290029
pf07_0091,126.8932563,122.4424583
pf10_0269,150.6851795,74.70820616
pfb0455w-a,1129.897025,1089.911315
pfb0455w-b,1283.670976,1099.526317
pff0165c,43.69315802,42.95861105
pf08_0054,4731.205807,3847.737123
pf13_0130,239.198957,197.1019682
pf14_0301,140.168765,105.4771685
pfe1220w,NULL,118.4568156
pf07_0070,99.12079227,68.40956167
pf11_0096,422.0104998,505.6646669
pf11_0156,113.2388145,132.0884512
pfl0565w,314.0724032,345.9632733
pfb0490c,365.8888152,411.8893139
pfl1200c,251.0291665,254.9993741
pf11_0201,30.52961843,33.6627154
pfe0570w,50.6641931,62.51802017
pf14_0261,181.5545699,143.5388455
pfl1610c,42.39205458,40.00757023
pfe0815w,190.6064131,99.51235116
mal8p1.10,67.81917153,64.04253526
pf14_0587,97.2514103,82.52136241
pfi0450c,130.8812494,107.3271231
pfb0151c,51.05963859,45.20664432
mal13p1.153,NULL,NULL
pf14_0481,215.5115495,115.9368488
pff0620c,NULL,NULL
pfl1235c,60.3242137,59.89216842
pf10_0074,NULL,117.2145352
pfc1065w,36.84294595,34.96187864
pf07_0020,29.23769155,30.72874074
pf13_0257,141.1415486,138.5102261
pf13_0209,38.23220244,54.38576033
pfl0900c,111.1748745,55.73704359
pfi1140w,100.0997175,52.52736449
pfc1020c,1460.637734,910.1366059
pf10_0150,121.2487216,69.33988653
pf14_0322,47.24658456,NULL
pf10_0194,54.70583853,61.07506959
pf13_0340,58.8378711,37.39153166
pff0920c-b,38.84406296,42.69551446
pff0920c-a,38.84396842,42.68299192
pf11_0232,37.77344849,48.31412232
pf11_0436,109.9960975,119.1023527
pfl0405w,31.30876214,17.71937961
pfl1185c,68.16946436,NULL
pf13_0310,82.06511527,53.45732041
pfl1350w,49.96918144,34.80529491
mal8p1.152,84.73192124,53.35728882
pf14_0079,107.4671521,71.80662643
pf10_0264,2685.554168,1698.343657
pf08_0027,34.08471662,22.94374308
pf14_0113,48.99358769,32.40168736
pfl2055w,2243.029919,1327.381493
pf10_0095,48.84717424,34.07364506
mal8p1.200,52.98517855,NULL
pfc0690c,36.0689717,NULL
pff0300w,99.83672886,82.92343835
pf14_0240,3447.089686,2452.662909
pfl1645w,23.91764473,22.3701774
pff0535c,145.3723685,142.023986
pf11_0281,97.54410325,83.270207
pf11_0093,129.381612,108.9190628
pf08_0130,102.0780879,50.43729436
mal8p1.19,94.34977135,51.41756754
mal13p1.341,181.0442296,96.27250343
pf14_0494,79.13866316,50.88246384
mal8p1.2,121.6495692,NULL
pf14_0207,75.9307439,NULL
pfa0700c,361.0385232,NULL
pff0455w,28.83802634,NULL
pff1480w,138.1743294,70.32993387
pf07_0088,2620.353831,1780.644929
pff1350c,246.9019743,164.975081
pf10_0217,383.5010604,276.4194824
pfe1445c,173.8824262,103.0450656
pfc0290w,1871.606102,1225.711446
pfe1195w,793.6933989,872.5726093
pf14_0620,31.45545336,18.60914192
pf14_0229,37.85641193,37.00333046
pfi1215w,66.90897573,62.46331869
pf14_0479,35.23501002,37.07926009
pfi1175c,331.8267947,294.856502
pfi0365w,23.5624963,28.9847409
pf14_0593,82.28686641,95.22733319
pfe1240w,106.95941,50.33448924
mal7p1.150,64.6790546,32.84539266
pf13_0315,184.2343312,125.7546511
pfb0826c,73.0791138,NULL
pf11_0053,188.5558609,142.0271049
pfe1360c,90.01235677,66.33294296
pf11_0400,25.25611284,20.01504632
pfl1220w,58.40094486,50.72604641
pff0685c,45.57337215,42.87183282
pf10_0274,82.07271878,34.77056777
pf14_0499,95.94181126,84.26125609
pfc0200w-a,1273.610567,1073.643277
pfc0200w-b,1645.699024,1292.57328
pf11_0106,1934.849421,1502.38317
mal7p1.320,1466.344942,1006.947219
pf10_0328,137.1893491,118.7423981
pf11_0310,563.7919266,86.82960749
pfe0745w,52.70833923,44.47392996
pfd0725c,51.0472949,45.42530227
pf11_0048,133.2866601,119.9456867
pf11_0200,97.4186623,103.1297148
pfc0395w,371.3890524,409.5164393
pfi1260c,127.1762259,116.0307947
pfe0900w,44.44681047,NULL
mal13p1.216,25.35941189,31.58527145
pfc0885c,42.55263502,45.81087068
pff1025c,2043.422461,726.5694784
pff1295w,76.98963462,109.8718559
pf14_0627,2975.711196,1866.719705
pfl2430c,36.5615908,76.71702013
pf13_0150,73.25970329,44.70598515
pf10_0038,1673.708632,1094.501633
pfe0515w,NULL,NULL
pf10_0077,289.8268716,208.9326741
pf11_0284,55.16120958,47.8136399
pfi1495w,37.50572727,23.93974048
pf11_0047,64.3226018,41.6848991
pf10_0123,170.3855812,138.7200009
pf13_0129,2801.175487,1566.970045
pfi0475w,146.0147621,NULL
pf14_0104,674.9604627,606.9984784
pf08_0040,88.80791436,55.62642613
pfe0750c,68.9915151,67.21945326
pf07_0117,509.0671749,474.7698471
pfi1425w,79.65123976,63.2972335
pfl1735c,60.18418394,63.6908484
pfl0590c,180.0221607,85.83578089
pfd0310w,196.0924883,NULL
mal13p1.76,68.40985114,57.24532172
pfc0375c,84.04558659,61.99069516
mal13p1.257,NULL,97.48417082
pf07_0043,2141.067469,1700.066582
pfe0610c,70.36851886,99.56205254
pf13_0049,1700.962152,1339.957819
pf11_0447,630.3817919,479.2395106
pf14_0368,625.1211433,1046.432598
pf14_0078,779.1436086,475.4724814
pf08_0069,144.3099959,109.6063135
pfe0845c,3535.681665,1478.992786
pf14_0649,201.0275772,156.0052319
pf14_0464,106.2620577,80.24704911
pfi0195c,133.0321228,112.1975379
mal8p1.40,947.8213334,548.074373
pfi0870w,40.25623392,35.28482449
pfd0750w,133.579762,89.58665828
pfe0375w,133.1368814,96.68597248
pfl1935c,29.32417739,26.83820739
pfe1400c,136.8455303,95.76754486
pfc0400w,3203.167058,2567.947207
mal7p1.151,29.92070191,24.74453154
pf11_0363,35.15642113,NULL
pf14_0335,204.2362009,175.2520401
pf13_0065,327.1524695,220.9212058
pf11_0305,98.33751899,51.17656308
pfe1140c,114.0527664,97.76919005
